Content_ID,Week,Datum,Dag,Platform,Content_Type,Post_Onderwerp,Caption_Kort,Hashtags,Post_Tijd,Status,Goedkeuring,Likes,Comments,Shares,Saves,Bereik,Impressies,Engagement,Video_Views,Laatst_Geupdate,Notities,Performance_Score
"WEEKEND_STORIES_011,1,2024-04-14,Zondag,Instagram,Stories,Zondag Vibes,""Sunday pizza, last orders, recap"",N.v.t.,Middag,Gepland,Pre-goedgekeurd,,,,,,,,,,Relaxte toon,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
TEAM_SPOTLIGHT_012,2.0,2024-04-15,Maandag,Instagram,Feed Post,Team Spotlight - Pizzaiolo,Meet [NAAM] - Onze pizzaiolo,#pizzaleuven #meettheteam,12:00,Gepland,In_Afwachting,,,,,,,,,,Team member in actie,
EDUCATIONAL_013,2.0,2024-04-15,Maandag,TikTok,Video,Educatief - 3 Dingen,3 things that make authentic pizza,#pizza #foodfacts #fyp,20:00,Gepland,In_Afwachting,,,,,,,,,,Snelle facts met visuals,
"ASMR_SLICING_014,2,2024-04-16,Dinsdag,Instagram,Reel,ASMR - Pizza Snijden,The most satisfying sound,#pizzaleuven #satisfying #asmr,19:00,Gepland,In_Afwachting,,,,,,,,,,""Slow-mo, geluid AAN"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"FB_EDUCATIONAL_015,2,2024-04-16,Dinsdag,Facebook,Post,Educatief - Houtoven,Why Wood-Fired Oven matters,#Leuven #WoodFiredPizza,13:00,Gepland,In_Afwachting,,,,,,,,,,""Langere caption, oven foto"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"INGREDIENT_016,2,2024-04-17,Woensdag,Instagram,Feed Post,Ingrediënt Spotlight - Mozzarella,Mozzarella di Bufala uitgelegd,#pizzaleuven #qualityingredients,18:00,Gepland,In_Afwachting,,,,,,,,,,""Educatief, close-up"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
TREND_017,2.0,2024-04-17,Woensdag,TikTok,Video,Trend Deelname,[Huidige trend] - Pizza editie,#pizza #fyp #trend,21:00,Gepland,In_Afwachting,,,,,,,,,,Check Discover voor trend,
"INTERACTIVE_018,2,2024-04-18,Donderdag,Instagram,Stories,Interactieve Dag,""Poll, Quiz, Q&A"",N.v.t.,Hele dag,Gepland,In_Afwachting,,,,,,,,,,Hoge engagement,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
STUDENT_FOCUS_019,2.0,2024-04-18,Donderdag,Facebook,Post,Student Focus,Studenten! Studievoer geleverd,#LeuvensStudenten #KULeuven,18:00,Gepland,In_Afwachting,,,,,,,,,,Student messaging,
"FRIDAY_FOMO_020,2,2024-04-19,Vrijdag,Instagram,Reel,FOMO - Drukke Avond,Vrijdagavond energie bij La Giuditta,#pizzaleuven #fridaynight,18:00,Gepland,In_Afwachting,,,,,,,,,,""Snelle cuts, trending muziek"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"STUDENT_POV_021,2,2024-04-19,Vrijdag,TikTok,Video,Student POV - Examens,""POV: Laatste examen gedaan, pizza tijd"",#studentlife #kuleuven,19:30,Gepland,In_Afwachting,,,,,,,,,,""Herkenbaar, jezelf belonen"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"AUTO_IG_001,0,2025-10-12,Sunday,Instagram,Reel,Auto-imported Reel,""We hebben iets nieuws achter de bar… 👀,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"Onze *huis..."",#gin #huisgemaakt #leuvencity #aperitiefje #surpriseeffect,14:25,Posted,N.v.t.,72.0,3.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"AUTO_IG_002,0,2025-09-25,Thursday,Instagram,Reel,Auto-imported Reel,""Wat een opening! 🤩 ,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"Dankjewel aan iedereen die er ..."",#leuvencity #giuditta #leuveneats #leuven #pizzalovers,13:09,Posted,N.v.t.,113.0,2.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
AUTO_IG_003,0.0,2025-09-23,Tuesday,Instagram,Reel,Auto-imported Reel,Heel erg bedankt voor te komen iedereen dit hadden...,#leuven #leuvencity #leuveneats #pizzalovers #giuditta,10:29,Posted,N.v.t.,2657.0,61.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,
"AUTO_IG_004,0,2025-09-22,Monday,Instagram,Reel,Auto-imported Reel,""🎉 Morgen is het zover: onze opening!,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"En we vieren ..."",#Giuditta #LeuvenCity #FreePizza #OpeningDay #Pizzalovers,12:03,Posted,N.v.t.,979.0,27.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
AUTO_IG_005,0.0,2025-09-21,Sunday,Instagram,Reel,Auto-imported Reel,Onze eerste pizza’s zijn de oven uitgekomen… en na...,#Giuditta #leuvenfoodies #pizzalovers #italianvibes #friendsandpizza,16:53,Posted,N.v.t.,229.0,3.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,
AUTO_IG_006,0.0,2025-09-15,Monday,Instagram,Reel,Auto-imported Reel,23 september is de dag! Noteer het alvast in je ag...,#leuvencity #giuditta #leuveneats #pizzaparty,16:17,Posted,N.v.t.,339.0,5.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,
AUTO_IG_007,0.0,2025-08-22,Friday,Instagram,Reel,Auto-imported Reel,Van lege muren naar een warm Italiaans pizzarestau...,#Giuditta #LeuvenCity #ItaliaansePizza #DPProjects #Peccati #LeuvenFoodies #behindthescenes,17:30,Posted,N.v.t.,97.0,1.0,,,0.0,0.0,0.0,,2025-11-20 03:34,Automatisch geïmporteerd,
"AUTO_IG_008,0,2025-08-21,Thursday,Instagram,Reel,Auto-imported Reel,""🍕✨ Giuditta opent binnenkort in hartje Leuven, en ..."",#Giuditta #LeuvenJobs #FlexiJob #Jobstudent #ItaliaansePizza #leuvencity,17:00,Posted,N.v.t.,61.0,0.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
AUTO_IG_009,0.0,2025-08-20,Wednesday,Instagram,Reel,Auto-imported Reel,🇧🇪 We zijn terug in België en vliegen er opnieuw i...,#Giuditta #LeuvenCity #ItaliaansePizza #BehindTheScenes #Verbouwingen #16september,17:00,Posted,N.v.t.,106.0,6.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,
"AUTO_IG_010,0,2025-06-17,Tuesday,Instagram,Reel,Auto-imported Reel,""Daar is ie. Onze houtoven. Met de hand betegeld, s..."",#Giuditta #houtoven #handgemaakt #ambacht #leuvencity #napolitaans #pizzapassie,16:00,Posted,N.v.t.,147.0,6.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
AUTO_IG_011,0.0,2025-06-15,Sunday,Instagram,Reel,Auto-imported Reel,Op bezoek bij de buffels van Buffel’Ardenne 🐃🇮🇹 Hi...,#Giuditta #mozzarella #buffelardenne #leuvencity #vanboernaarbord,13:54,Posted,N.v.t.,54.0,2.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,
AUTO_IG_012,0.0,2025-06-07,Saturday,Instagram,Reel,Auto-imported Reel,Iedereen zegt dat ze ‘echte’ Napolitaanse pizza ma...,#Giuditta #echtepizza #napolitaans #houtoven #leuvencity #geencompromis,16:05,Posted,N.v.t.,79.0,4.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,
AUTO_IG_013,0.0,2025-06-06,Friday,Instagram,Reel,Auto-imported Reel,Nieuwe stoelen kiezen voor ons nieuw restaurant… m...,#Giuditta #leuvencity #restaurantinterieur #kiesmee #meedenkenmag #interieurtwijfels,12:46,Posted,N.v.t.,48.0,10.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,
"AUTO_IG_014,0,2025-05-25,Sunday,Instagram,Reel,Auto-imported Reel,""Yes, binnenkort kan je ook op ons terras in de Par..."",#terrasvibes #zomerdrankjes #parijsestraat #leuvenfoodies #drinklocal #supportyourlocal,11:30,Posted,N.v.t.,89.0,21.0,,,0.0,0.0,0.0,,2025-11-20 03:45,Automatisch geïmporteerd,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
AUTO_TT_001,39.0,2025-09-22,Monday,TikTok,Video,🎉 Vandaag is het zover: onze opening! En we vieren dat met een cadeautje voor jullie 👉 morgen 23 sep,"🎉 Vandaag is het zover: onze opening! En we vieren dat met een cadeautje voor jullie 👉 morgen 23 september, tussen 11u en 12u, kan je GRATIS een pizza komen afhalen 🍕💨 Kom langs, proef de sfeer en de ","Giuditta, LeuvenCity, FreePizza, OpeningDay, Pizzalovers",,Geplaatst,Ja,14911.0,179.0,5649.0,0.0,0.0,0.0,0.0,376030.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7552882123242343712,
AUTO_TT_002,39.0,2025-09-23,Tuesday,TikTok,Video,Heel erg bedankt voor te komen iedereen  ❤️❤️❤️ WE ZIJN OFFICIEEL OPEN 🥳🥳🥳 #leuven #leuvencity #leuv,Heel erg bedankt voor te komen iedereen  ❤️❤️❤️ WE ZIJN OFFICIEEL OPEN 🥳🥳🥳 #leuven #leuvencity #leuveneats #pizzalovers #giuditta ,"leuven, leuvencity, leuveneats, pizzalovers, giuditta",,Geplaatst,Ja,9878.0,92.0,2316.0,0.0,0.0,0.0,0.0,262763.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7553230096908307745,
AUTO_TT_003,18.0,2025-05-04,Sunday,TikTok,Video,Van lege muren tot geurige pizza’s. 🍕✨ Welkom bij Giuditta. Hier bouwen ik en mijn man Claudio aan e,"Van lege muren tot geurige pizza’s. 🍕✨ Welkom bij Giuditta. Hier bouwen ik en mijn man Claudio aan een modern Italiaans pizzarestaurant — en jij mag meekijken. We tonen je alles: de oveninstallatie, d","G, GiudittaLeuvenI, ItaliaansInLeuvenP, PizzaloversB, BehindTheScenesC",,Geplaatst,Ja,2782.0,34.0,743.0,0.0,0.0,0.0,0.0,64651.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7500556681252867330,
AUTO_TT_004,34.0,2025-08-22,Friday,TikTok,Video,"🍕✨ Giuditta opent binnenkort in hartje Leuven, en wij zoeken nog enthousiaste flexi-jobbers & jobstu","🍕✨ Giuditta opent binnenkort in hartje Leuven, en wij zoeken nog enthousiaste flexi-jobbers & jobstudenten om ons team te versterken! 👉 Zin om mee te draaien in een gloednieuw Italiaans pizzarestauran","Giuditta, LeuvenJobs, FlexiJob, Jobstudent, ItaliaansePizza",,Geplaatst,Ja,1272.0,7.0,569.0,0.0,0.0,0.0,0.0,61778.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7541325970872093985,
AUTO_TT_005,38.0,2025-09-15,Monday,TikTok,Video,23 september is de dag! Noteer het alvast in je agenda want de eerste 100 margarita’s zijn gratis ;),"23 september is de dag! Noteer het alvast in je agenda want de eerste 100 margarita’s zijn gratis ;) Adres: Parijsstraat 44, 3000 Leuven #leuvencity #giuditta #leuveneats #pizzaparty ","leuvencity, giuditta, leuveneats, pizzaparty",,Geplaatst,Ja,719.0,6.0,396.0,0.0,0.0,0.0,0.0,35947.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7550283709476277536,
AUTO_TT_006,25.0,2025-06-17,Tuesday,TikTok,Video,"Daar is ie. Onze houtoven. Met de hand betegeld, steen per steen. 🇮🇹 Hier bakken we binnenkort onze ","Daar is ie. Onze houtoven. Met de hand betegeld, steen per steen. 🇮🇹 Hier bakken we binnenkort onze pizza’s zoals ze in Napels zijn. 🔥🍕 #Giuditta #houtoven #handgemaakt #ambacht #leuvencity #napolitaa","Giuditta, houtoven, handgemaakt, ambacht, leuvencity",,Geplaatst,Ja,1253.0,8.0,8.0,0.0,0.0,0.0,0.0,35732.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7516954853873175840,
AUTO_TT_007,38.0,2025-09-21,Sunday,TikTok,Video,Onze eerste pizza’s zijn de oven uitgekomen… en natuurlijk moesten onze vrienden de eersten zijn om ,Onze eerste pizza’s zijn de oven uitgekomen… en natuurlijk moesten onze vrienden de eersten zijn om te proeven 🍕💬 Hun verdict? Alleen maar smiles en volle monden 😅 Binnenkort mag jij mee oordelen 👉 sa,"Giuditta, leuvenfoodies, pizzalovers, italianvibes, friendsandpizza",,Geplaatst,Ja,251.0,2.0,85.0,0.0,0.0,0.0,0.0,18318.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7552586928344943905,
AUTO_TT_008,46.0,2025-11-13,Thursday,TikTok,Video,Kerst shoppen voor giuditta #christmas #giudittaleuven #shoppin #vancranenbroek ,Kerst shoppen voor giuditta #christmas #giudittaleuven #shoppin #vancranenbroek ,"christmas, giudittaleuven, shoppin, vancranenbroek",,Geplaatst,Ja,141.0,3.0,33.0,0.0,0.0,0.0,0.0,14101.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7572240449906150689,
AUTO_TT_009,21.0,2025-05-25,Sunday,TikTok,Video,"Yes, binnenkort kan je ook op ons terras in de Parijsestraat zitten! Wat is jouw favoriete zomerdran","Yes, binnenkort kan je ook op ons terras in de Parijsestraat zitten! Wat is jouw favoriete zomerdrankje? Laat het weten in de comments. Het drankje met de meeste likes komt op onze kaart! #terrasvibes","terrasvibes, zomerdrankjes, parijsestraat, leuvenfoodies, drinklocal",,Geplaatst,Ja,176.0,10.0,45.0,0.0,0.0,0.0,0.0,13364.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7508345523523308822,
AUTO_TT_010,34.0,2025-08-19,Tuesday,TikTok,Video,"🇧🇪 We zijn terug in België en vliegen er opnieuw in! De verbouwingen bij Giuditta lopen volop, alles","🇧🇪 We zijn terug in België en vliegen er opnieuw in! De verbouwingen bij Giuditta lopen volop, alles in de hoop dat we jullie op 16 september kunnen verwelkomen 🍕✨ Nog geen grote updates… behalve onze","Giuditta, LeuvenCity, ItaliaansePizza, BehindTheScenes",,Geplaatst,Ja,120.0,4.0,6.0,0.0,0.0,0.0,0.0,10206.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7540362203703151905,
AUTO_TT_011,34.0,2025-08-20,Wednesday,TikTok,Video,Van lege muren naar een warm Italiaans pizzarestaurant 🍕✨ We nemen jullie mee in hoe Giuditta er nu ,Van lege muren naar een warm Italiaans pizzarestaurant 🍕✨ We nemen jullie mee in hoe Giuditta er nu uitziet én wat het binnenkort zal worden. We zijn ook heel trots om dit avontuur te bouwen samen met,"Giuditta, LeuvenCity, ItaliaansePizza, DPProjects, Peccati",,Geplaatst,Ja,107.0,1.0,7.0,0.0,0.0,0.0,0.0,9918.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7540654135620717856,
AUTO_TT_012,20.0,2025-05-16,Friday,TikTok,Video,Onze blije fee 🧚‍♀️ Davinia stapt voor de eerste keer écht binnen bij onze nieuwe zaak Giuditta. All,"Onze blije fee 🧚‍♀️ Davinia stapt voor de eerste keer écht binnen bij onze nieuwe zaak Giuditta. Alles is nog ruw, maar de sfeer voel je al. We willen een plek maken waar je blijft hangen — voor de pi","GiudittaLeuven, Binnenkijker, ItaliaansMetEenTwist, LeuvenEats, WorkInProgress",,Geplaatst,Ja,107.0,11.0,9.0,0.0,0.0,0.0,0.0,7246.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7504959163152272673,
AUTO_TT_013,24.0,2025-06-15,Sunday,TikTok,Video,"Op bezoek bij de buffels van Buffel’Ardenne 🐃🇮🇹 Hier begint het. Verse melk, pure ambacht, en mozzar","Op bezoek bij de buffels van Buffel’Ardenne 🐃🇮🇹 Hier begint het. Verse melk, pure ambacht, en mozzarella zoals ze in Italië maken. Want zonder goeie mozzarella, geen goeie pizza. 🍕 #Giuditta #mozzarel","Giuditta, mozzarella, buffelardenne, leuvencity, vanboernaarbord",,Geplaatst,Ja,93.0,0.0,8.0,0.0,0.0,0.0,0.0,5132.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7516173724387773718,
AUTO_TT_014,39.0,2025-09-24,Wednesday,TikTok,Video,"Wat een opening! 🤩  Dankjewel aan iedereen die er gisteren bij was 🙏 Vanaf nu kan je reserveren, dus","Wat een opening! 🤩  Dankjewel aan iedereen die er gisteren bij was 🙏 Vanaf nu kan je reserveren, dus claim je spot en kom ontdekken waarom dit een echte must-try is.  Leuven, we hopen dat jullie je hi","leuvencity, giuditta, leuveneats, leuven, pizzalovers",,Geplaatst,Ja,110.0,4.0,35.0,0.0,0.0,0.0,0.0,5104.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7553658701777767713,
AUTO_TT_015,23.0,2025-06-07,Saturday,TikTok,Video,Iedereen zegt dat ze ‘echte’ Napolitaanse pizza maken… Maar laten we eerlijk zijn: zonder houtoven? ,Iedereen zegt dat ze ‘echte’ Napolitaanse pizza maken… Maar laten we eerlijk zijn: zonder houtoven? Zonder Claudio? Komaan hé 😏🔥 #Giuditta #echtepizza #napolitaans #houtoven #leuvencity #geencompromis,"Giuditta, echtepizza, napolitaans, houtoven, leuvencity",,Geplaatst,Ja,43.0,1.0,2.0,0.0,0.0,0.0,0.0,4958.0,2025-11-25 01:22,TikTok Official Import - Video ID: 7513248504177773846,
