Image,URL,Title,Date,Link,Type,Views,Likes,Comments,Shares,Reach,Duration,Engagement,Full video watched rate,Total time watched seconds,Avg. time watched seconds,For You,Follow,Hashtag,Sound,Personal profile,Search
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oURBwEvgZDZa6I0UCAEgiMS92B5Mad5AgBr9i~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=24a468f9&x-expires=1770516000&x-signature=pbrOKhfdzawmyFvgCfvtqXQnGhA%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7587443377835183392","https://www.tiktok.com/@giudittaleuven/video/7587443377835183392?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Merry Christmas van team Giuditta🎄#pizzalover #giudittaleuven #christmas #merrychristmas ",2025-12-24 16:15,"https://www.tiktok.com/player/v1/7587443377835183392?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",25920,835,7,10,25524,24,Optional[3.3380347907851435],"0.01","74682","2.66","97.4","1.2",,"0","1.1","0"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o0QRwmpAtebBUMG1DDImzOFx2WDB0QfvEuEjsF~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=1999644a&x-expires=1770516000&x-signature=VT7DneeXEfq8Y8eCjAu26cMm3fk%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7582614938691112225","https://www.tiktok.com/@giudittaleuven/video/7582614938691112225?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Fijn bezoekje van @Gerben Tuerlinckx bedankt! #giudittaleuven #leuven #pizzalover #pizza ",2025-12-11 15:58,"https://www.tiktok.com/player/v1/7582614938691112225?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",1408,41,0,5,1207,30,Optional[3.8111019055509527],"0.04","11754","8.02","73.3","2.7",,"0","16.8","5.8"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/okkjMQggIfSCRWIPQD1fKMWSZaeinG8zDbAJmj~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=9fe3b1c1&x-expires=1770516000&x-signature=tLbq7IlfftnbVglIDUtl30HCDqM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7581138010406784288","https://www.tiktok.com/@giudittaleuven/video/7581138010406784288?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Filip?? #giudittaleuven #leuven #pizza #pizzalover #leuven ",2025-12-07 16:27,"https://www.tiktok.com/player/v1/7581138010406784288?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",22082,356,1,41,20141,28,Optional[1.976068715555335],"0.02","63313","2.79","92.6","1.9",,"0","4.6","0.5"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oovmyIQMfAQeyEJDHDRpGpB6IEDmFEaa5x9Qos~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=9962d18b&x-expires=1770516000&x-signature=UpqV3seB1xBcNc5UrvWzlWC2HBk%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&item=7580421535748427040&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover","https://www.tiktok.com/@giudittaleuven/video/7580421535748427040?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","En steek het kaartje in de Santa brievenbus🎅🏼🎄#giudittaleuven #leuven #christmas #pizzalover ",2025-12-05 18:07,"https://www.tiktok.com/player/v1/7580421535748427040?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",906,22,1,0,731,14,Optional[3.146374829001368],"0.08","3689","3.81","59.4","5.1",,"0","30.2","3.6"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oMIBfUyf4oipFDAyIvB0RjJDQEiEm2CUZDK5QK~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=90568e65&x-expires=1770516000&x-signature=3j4Fh%2FPeNqur9HUSCebQJj81ENY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7577460325415505185","https://www.tiktok.com/@giudittaleuven/video/7577460325415505185?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Giuditta versieren!🎄 #decorating #christmas #giudittaleuven ",2025-11-27 18:36,"https://www.tiktok.com/player/v1/7577460325415505185?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",12055,95,6,2,9224,17,Optional[1.116652211621856],"0.01","18804","1.81","71.9","4",,"0","23","0.8"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/ogWtuPAHigAUYT4RB080aLAiID0BJXPjPZI2E~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=750739c8&x-expires=1770516000&x-signature=xhuLR%2FBDuZskasnD0s1RaxnJwUQ%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7572240449906150689","https://www.tiktok.com/@giudittaleuven/video/7572240449906150689?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Kerst shoppen voor giuditta #christmas #giudittaleuven #shoppin #vancranenbroek ",2025-11-13 17:00,"https://www.tiktok.com/player/v1/7572240449906150689?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",14786,148,3,37,12599,64,Optional[1.4921819191999366],"0.01","68202","4.66","82.9","3.9",,"0","11","1.3"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/ocWZqkHSQEquny1D7uoErDsB6QgMmSffQA7F7R~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=be912058&x-expires=1770516000&x-signature=wDCbIlI0Re%2F2LsG%2BF%2FVG12uU764%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7560341672782007584","https://www.tiktok.com/@giudittaleuven/video/7560341672782007584?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","We hebben iets nieuws achter de bar… 👀 Onze *huisgemaakte gin* met een klein effectje dat je beter live komt ontdekken 😉 #gin #huisgemaakt #leuvencity #aperitiefje #surpriseeffect",2025-10-12 16:27,"https://www.tiktok.com/player/v1/7560341672782007584?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",2636,41,0,0,2126,39,Optional[1.9285042333019755],"0.05","18090","6.79","33.5","2.7",,"0","49.9","13"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/ocGnAYGzQKbTFIIUJeGfRnrNdk3kfAPeA8AALj~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=d9307cfd&x-expires=1770516000&x-signature=pKPiV5wsREkFE5VTkq9elppf2PY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7553658701777767713","https://www.tiktok.com/@giudittaleuven/video/7553658701777767713?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Wat een opening! 🤩  Dankjewel aan iedereen die er gisteren bij was 🙏 Vanaf nu kan je reserveren, dus claim je spot en kom ontdekken waarom dit een echte must-try is.  Leuven, we hopen dat jullie je hier meteen thuis voelen. ❤️ #leuvencity #giuditta #leuveneats #leuven #pizzalovers ",2025-09-24 16:13,"https://www.tiktok.com/player/v1/7553658701777767713?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",5425,112,4,35,4047,39,Optional[3.7311588831233014],"0.04","39175","7.13","34.1","0.8",,"0","53.8","9.3"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/okdORGQf1FMlgVAPQwDIDvJSKMXvjpeQnfnT8D~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=f3b1b90e&x-expires=1770516000&x-signature=PMmCscERwid0kkawB1fbjyzcYVw%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&sc=cover&item=7553230096908307745&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER","https://www.tiktok.com/@giudittaleuven/video/7553230096908307745?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Heel erg bedankt voor te komen iedereen  ❤️❤️❤️ WE ZIJN OFFICIEEL OPEN 🥳🥳🥳 #leuven #leuvencity #leuveneats #pizzalovers #giuditta ",2025-09-23 12:31,"https://www.tiktok.com/player/v1/7553230096908307745?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",265780,9925,89,2330,225469,33,Optional[5.474810284340641],"0.21","4263161","15.91","94.1","0",,"0","3.3","0.8"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o0D2AOloyLfFGInMQRIGfneaQR6mgQxNGMRFSj~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=9773affb&x-expires=1770516000&x-signature=bI9vQTTuWl04B6b1f5tcA39RomE%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7552882123242343712","https://www.tiktok.com/@giudittaleuven/video/7552882123242343712?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","🎉 Vandaag is het zover: onze opening! En we vieren dat met een cadeautje voor jullie 👉 morgen 23 september, tussen 11u en 12u, kan je GRATIS een pizza komen afhalen 🍕💨 Kom langs, proef de sfeer en de smaak van Giuditta als eerste! #Giuditta #LeuvenCity #FreePizza #OpeningDay #Pizzalovers",2025-09-22 14:01,"https://www.tiktok.com/player/v1/7552882123242343712?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",378676,14942,159,5720,322428,18,Optional[6.457565720098751],"0.29","3975804","10.44","92.3","0",,"0","4.2","1"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/octWfvgggNAjzXQ4LWuYgJePgecqKRACYGLGMe~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=f06d711f&x-expires=1770516000&x-signature=DvDQKyzrmE5VWKP%2FNY16HsfOGX4%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7552586928344943905","https://www.tiktok.com/@giudittaleuven/video/7552586928344943905?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Onze eerste pizza’s zijn de oven uitgekomen… en natuurlijk moesten onze vrienden de eersten zijn om te proeven 🍕💬 Hun verdict? Alleen maar smiles en volle monden 😅 Binnenkort mag jij mee oordelen 👉 save the date: 23 september! #Giuditta #leuvenfoodies #pizzalovers #italianvibes #friendsandpizza",2025-09-21 18:55,"https://www.tiktok.com/player/v1/7552586928344943905?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",18747,255,2,88,15325,28,Optional[2.2512234910277327],"0.04","168582","8.92","26.7","0",,"0","69.8","2.4"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o844BYQMaY8Na8fVfjffRgRAmqXzyGAHblGDZA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=74b9337f&x-expires=1770516000&x-signature=B%2FFWTPYMfedD1pQscTA2txKmKo4%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&item=7550283709476277536&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover","https://www.tiktok.com/@giudittaleuven/video/7550283709476277536?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","23 september is de dag! Noteer het alvast in je agenda want de eerste 100 margarita’s zijn gratis ;) Adres: Parijsstraat 44, 3000 Leuven #leuvencity #giuditta #leuveneats #pizzaparty ",2025-09-15 13:57,"https://www.tiktok.com/player/v1/7550283709476277536?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",36259,724,6,396,30747,27,Optional[3.6621459004130483],"0.18","396410","10.86","71.1","0",,"0","25.8","1"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oAXLBETW02BZPC2oA3iioeB4CVAIuUTII2vczA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=bcc1f123&x-expires=1769922000&x-signature=UuI33DUE0eOXQZpEQ%2FGZAfHOyxQ%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&sc=cover&item=7541325970872093985&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER","https://www.tiktok.com/@giudittaleuven/video/7541325970872093985?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","🍕✨ Giuditta opent binnenkort in hartje Leuven, en wij zoeken nog enthousiaste flexi-jobbers & jobstudenten om ons team te versterken! 👉 Zin om mee te draaien in een gloednieuw Italiaans pizzarestaurant? Meld je aan via de link in bio of mail naar jobs@giuditta.be Tag gerust iemand die dit moet zien 👇 #Giuditta #LeuvenJobs #FlexiJob #Jobstudent #ItaliaansePizza ",2025-08-22 10:36,"https://www.tiktok.com/player/v1/7541325970872093985?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",62348,1271,7,569,52868,15,Optional[3.4936067186199593],"0.18","472741","7.54","83.3","0",,"0","11.5","3.2"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o8iDhQDnFDiqpylTTRInABDEseSIImDfQocotE~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=9992530d&x-expires=1769922000&x-signature=3hmNtlUpkDZm2DZtkqIfm5XDZ%2Fs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7540654135620717856","https://www.tiktok.com/@giudittaleuven/video/7540654135620717856?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Van lege muren naar een warm Italiaans pizzarestaurant 🍕✨ We nemen jullie mee in hoe Giuditta er nu uitziet én wat het binnenkort zal worden. We zijn ook heel trots om dit avontuur te bouwen samen met onze vriend Niels van DP Projects (in Herentals) 👷‍♂️🙌 En… alvast een primeur: we zullen niet alleen Napolitaanse pizza uit de houtoven serveren maar ook de heerlijke cocktails en Peccati  🍸🔥 Stap voor stap komt Giuditta tot leven. 🇮🇹💛 #Giuditta #LeuvenCity #ItaliaansePizza #DPProjects #Peccati  ",2025-08-20 15:09,"https://www.tiktok.com/player/v1/7540654135620717856?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",9999,107,1,7,8945,55,Optional[1.285634432643935],"0.05","93462","9.28","37.6","0",,"0","60.3","1.3"
